Fire_Audit_ID,Financial_Year,Audit_Year,Audit_Plan_Date,Plan_Month,Plan_Month_Num,Plan_Year,Supplier_Code,Supplier_Name,Audit_Actual_Date,Actual_Month,Score,Score_Percent,Risk_Category,Days_Taken,Status
10001,FY24-25,FY24-25,2024-10-09,Oct-24,10,2024,3232,Test_1,2024-12-12,Dec-24,1.0,100.0,Safe,64.0,Completed
10002,FY24-25,FY24-25,2024-10-09,Oct-24,10,2024,3371,Test_2,2024-12-24,Dec-24,1.0,100.0,Safe,76.0,Completed
10003,FY24-25,FY24-25,2024-10-09,Oct-24,10,2024,3469,Test_3,2024-10-09,Oct-24,0.52,52.0,High Risk,0.0,Completed
10004,FY24-25,FY24-25,2024-10-09,Oct-24,10,2024,3326,Test_4,2024-10-09,Oct-24,0.6,60.0,High Risk,0.0,Completed
10005,FY24-25,FY24-25,2024-10-09,Oct-24,10,2024,3239,Test_5,2025-01-01,Jan-25,0.71,71.0,High Risk,84.0,Completed
10006,FY24-25,FY24-25,2024-10-11,Oct-24,10,2024,3347,Test_6,2025-01-01,Jan-25,0.73,73.0,High Risk,82.0,Completed
10007,FY24-25,FY24-25,2024-10-11,Oct-24,10,2024,3499,Test_7,2025-03-03,Mar-25,0.89,89.0,Caution Risk,143.0,Completed
10008,FY24-25,FY24-25,2024-10-11,Oct-24,10,2024,3036,Test_8,2025-03-03,Mar-25,0.88,88.0,Caution Risk,143.0,Completed
10009,FY24-25,FY24-25,2024-10-11,Oct-24,10,2024,3496,Test_9,2025-03-03,Mar-25,0.84,84.0,Caution Risk,143.0,Completed
10010,FY24-25,FY24-25,2025-02-02,Feb-25,2,2025,3266,Test_10,2025-03-03,Mar-25,0.85,85.0,Caution Risk,29.0,Completed
10011,FY24-25,FY24-25,2025-03-03,Mar-25,3,2025,3475,Test_11,2025-03-03,Mar-25,0.96,96.0,Caution Risk,0.0,Completed
10012,FY25-26,FY25-26,2025-12-08,Dec-25,12,2025,3306,Test_12,2025-12-08,Dec-25,1.0,100.0,Safe,0.0,Completed
10013,FY25-26,FY25-26,2025-12-08,Dec-25,12,2025,3309,Test_13,2025-12-08,Dec-25,1.0,100.0,Safe,0.0,Completed
10014,FY25-26,FY25-26,2025-12-08,Dec-25,12,2025,3225,Test_14,2025-12-08,Dec-25,1.0,100.0,Safe,0.0,Completed
10015,FY25-26,FY25-26,2025-12-08,Dec-25,12,2025,3485,Test_15,2025-12-12,Dec-25,1.0,100.0,Safe,4.0,Completed
10016,FY25-26,FY25-26,2025-12-08,Dec-25,12,2025,3484,Test_16,2025-12-08,Dec-25,1.0,100.0,Safe,0.0,Completed
10017,FY25-26,FY25-26,2025-12-08,Dec-25,12,2025,3558,Test_17,2025-12-08,Dec-25,1.0,100.0,Safe,0.0,Completed
10018,FY25-26,FY25-26,2025-12-13,Dec-25,12,2025,3501,Test_18,2025-12-13,Dec-25,1.0,100.0,Safe,0.0,Completed
10019,FY25-26,FY25-26,2025-10-28,Oct-25,10,2025,3542,Test_19,2026-01-09,Jan-26,1.0,100.0,Safe,73.0,Completed
10020,FY25-26,FY25-26,2025-10-30,Oct-25,10,2025,3215,Test_20,2026-03-31,Mar-26,0.89,89.0,Safe,152.0,Completed
10021,FY25-26,FY25-26,2025-08-29,Aug-25,8,2025,3073,Test_21,2025-10-07,Oct-25,0.7,70.0,High Risk,39.0,Completed
10022,FY25-26,FY25-26,2025-11-15,Nov-25,11,2025,3319,Test_22,2025-11-18,Nov-25,0.71,71.0,High Risk,3.0,Completed
10023,FY25-26,FY25-26,2025-09-05,Sep-25,9,2025,3233,Test_23,2025-10-07,Oct-25,0.95,95.0,Caution Risk,32.0,Completed
10024,FY25-26,FY25-26,2025-09-26,Sep-25,9,2025,10087001,Test_24,2025-10-07,Oct-25,0.82,82.0,Caution Risk,11.0,Completed
10025,FY25-26,FY25-26,2025-10-16,Oct-25,10,2025,3346,Test_25,2025-10-31,Oct-25,0.93,93.0,Caution Risk,15.0,Completed
10026,FY25-26,FY25-26,2025-10-08,Oct-25,10,2025,3298,Test_26,2025-10-30,Oct-25,0.92,92.0,Caution Risk,22.0,Completed
10027,FY25-26,FY25-26,2025-10-14,Oct-25,10,2025,1231,Test_27,2025-10-31,Oct-25,0.92,92.0,Caution Risk,17.0,Completed
10028,FY25-26,FY25-26,2025-11-07,Nov-25,11,2025,3175,Test_28,2025-11-12,Nov-25,0.94,94.0,Caution Risk,5.0,Completed
10029,FY25-26,FY25-26,2025-11-08,Nov-25,11,2025,3129,Test_29,2025-11-12,Nov-25,0.88,88.0,Caution Risk,4.0,Completed
10030,FY25-26,FY25-26,2025-11-20,Nov-25,11,2025,3476,Test_30,2025-12-03,Dec-25,0.94,94.0,Caution Risk,13.0,Completed
10031,FY25-26,FY25-26,2025-11-24,Nov-25,11,2025,3037,Test_31,2025-12-03,Dec-25,0.83,83.0,Caution Risk,9.0,Completed
10032,FY25-26,FY25-26,2025-11-25,Nov-25,11,2025,1232,Test_32,2025-12-03,Dec-25,0.89,89.0,Caution Risk,8.0,Completed
10033,FY25-26,FY25-26,2025-11-25,Nov-25,11,2025,1000000385,Test_33,2025-12-03,Dec-25,0.94,94.0,Caution Risk,8.0,Completed
10034,FY25-26,FY25-26,2025-11-28,Nov-25,11,2025,3060,Test_34,2025-12-03,Dec-25,0.91,91.0,Caution Risk,5.0,Completed
10035,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3439,Test_35,2025-12-24,Dec-25,0.9,90.0,Caution Risk,7.0,Completed
10036,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3039,Test_36,,,,,,,Pending
10037,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3222,Test_37,,,,,,,Pending
10038,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3272,Test_38,,,,,,,Pending
10039,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3413,Test_39,,,,,,,Pending
10040,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3294,Test_40,,,,,,,Pending
10041,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3559,Test_41,,,,,,,Pending
10042,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3110,Test_42,,,,,,,Pending
10043,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3056,Test_43,,,,,,,Pending
10044,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3560,Test_44,,,,,,,Pending
10045,FY25-26,FY25-26,2025-12-17,Dec-25,12,2025,3095,Test_45,,,,,,,Pending
